model,variable,horizon_weeks,n_forecasts,mean_crps,median_crps,coverage_90,avg_width_90,lower_tail_rate_05,mean_qloss_05,mean_qloss_50,mean_qloss_95,mean_ess_fraction
AR_equal,BRENT,1,85,0.01959620276513915,0.011802806563143208,0.8352941176470589,0.10263493417878769,0.08235294117647059,0.003602453016215444,0.013302181456088313,0.004691271863458008,1.0
AR_equal,BRENT,4,85,0.03793434262151118,0.026244980087153057,0.9294117647058824,0.21235169766922088,0.03529411764705882,0.007836298841651995,0.026174981482609282,0.008719700825942981,1.0
AR_equal,BRENT,12,85,0.0626457960907514,0.04489325104830562,0.8941176470588236,0.37261867280092886,0.058823529411764705,0.014171966619839165,0.04286217196785723,0.01279216807049481,1.0
AR_equal,BRENT,20,85,0.07987364956714109,0.05672318756233158,0.9294117647058824,0.4833170821824534,0.047058823529411764,0.016571678803400287,0.056650252278793355,0.015361200941566512,1.0
AR_equal,SPREAD,1,85,0.011323904399450007,0.00871109069832367,0.9176470588235294,0.062300323501452474,0.03529411764705882,0.0020539326201362788,0.007906883450899562,0.00213898161447754,1.0
AR_equal,SPREAD,4,85,0.018583961264965296,0.014277840865628683,0.9294117647058824,0.12624224695168704,0.047058823529411764,0.0037277488754689525,0.013432599577744751,0.0032800361022607212,1.0
AR_equal,SPREAD,12,85,0.028156439317679575,0.022776935046280485,0.9764705882352941,0.21944368728175143,0.011764705882352941,0.0053499295508880424,0.019099136614400682,0.0056576973909528185,1.0
AR_equal,SPREAD,20,85,0.03304210458017032,0.026281973175546598,1.0,0.2832625897397782,0.0,0.00692536683310473,0.021947287474525387,0.007237762653884187,1.0
AR_equal,WTI,1,85,0.019412699239624638,0.012691271842688506,0.8705882352941177,0.09727881018564638,0.03529411764705882,0.003236133584012806,0.013130566901875002,0.004838454732109686,1.0
AR_equal,WTI,4,85,0.037918119227641094,0.02184759762084363,0.8705882352941177,0.20939580340259273,0.08235294117647059,0.008428432835967233,0.024928475857363342,0.009151052226556522,1.0
AR_equal,WTI,12,85,0.06513126267395537,0.03797921918353467,0.8705882352941177,0.3621371754951256,0.07058823529411765,0.01607378175476121,0.04316844454532637,0.014171063641050138,1.0
AR_equal,WTI,20,85,0.08282188742435961,0.04936017411657995,0.8705882352941177,0.4684530031148126,0.09411764705882353,0.018453783470247242,0.05526837671222889,0.017025067596648447,1.0
AR_macro,BRENT,1,85,0.019555107517648045,0.0121792996961158,0.8470588235294118,0.10441797540558774,0.07058823529411765,0.00348777618017045,0.013137717515605881,0.004657598633695724,0.3275446777956983
AR_macro,BRENT,4,85,0.03792592498337921,0.02563305236086988,0.9176470588235294,0.21230891973871444,0.03529411764705882,0.007670373422131917,0.02635935666702603,0.008300217839116771,0.3275446777956983
AR_macro,BRENT,12,85,0.06264440526537239,0.0442349326268223,0.9176470588235294,0.3708867283693994,0.047058823529411764,0.013375697506605813,0.04303947901686382,0.0129673037099307,0.3275446777956983
AR_macro,BRENT,20,85,0.08019015443502465,0.0572812105674952,0.9058823529411765,0.47804669032795744,0.058823529411764705,0.016510672883562727,0.05705129276380903,0.015254072056682123,0.3275446777956983
AR_macro,SPREAD,1,85,0.011336577378290887,0.008662174926837109,0.8588235294117647,0.06197855570383684,0.058823529411764705,0.0020319471404667716,0.00782729807263969,0.0022011672094164013,0.3275446777956983
AR_macro,SPREAD,4,85,0.018537439190247706,0.014168659812013845,0.9411764705882353,0.12542593813938166,0.047058823529411764,0.003675815636309177,0.01328230373699605,0.0032728614523128505,0.3275446777956983
AR_macro,SPREAD,12,85,0.028181296261132114,0.022867061006844894,0.9764705882352941,0.21779989448038517,0.011764705882352941,0.0052954788623602676,0.019285492857036308,0.005632894917906797,0.3275446777956983
AR_macro,SPREAD,20,85,0.032986928670045684,0.025991087234732806,1.0,0.28143102520331514,0.0,0.006896951255361471,0.022001647849640576,0.007174600004804292,0.3275446777956983
AR_macro,WTI,1,85,0.019523035987347274,0.012990553484646998,0.8823529411764706,0.10411994187715182,0.03529411764705882,0.0034690940550158467,0.013126466889538278,0.00476676944593331,0.3275446777956983
AR_macro,WTI,4,85,0.03777837760927114,0.0238444757983005,0.8823529411764706,0.2183120433509723,0.07058823529411765,0.008155909871761685,0.025108453791032225,0.008825152504385873,0.3275446777956983
