model,variable,horizon_weeks,alpha,n_used,n_total,expected_exceptions,underpowered,exceptions,exception_rate,kupiec_p,christoffersen_ind_p,christoffersen_cc_p,es_z2,es_z2_p,es_z2_lo,es_z2_hi
AR_equal,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-2.309102073903495,0.62,-8.927306221710484,1.0
AR_macro,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-8.405929563892425,0.62,-27.21778869167727,1.0
AR_macro_nc,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-8.361070046123901,0.62,-27.0832101383717,1.0
AR_time,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-8.730427406825202,0.62,-28.191282220475607,1.0
CTSF_equal,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-5.259280870414447,0.62,-17.77784261124334,1.0
CTSF_macro,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-14.254648942241182,0.62,-44.76394682672355,1.0
CTSF_time,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-28.98120595929262,0.62,-88.94361787787787,1.0
CTS_equal,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-5.305643652500679,0.62,-17.916930957502036,1.0
CTS_macro,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-14.208383790515521,0.62,-44.625151371546565,1.0
CTS_time,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-29.438700086936986,0.62,-90.31610026081097,1.0
FHS_equal,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-2.7206583374332722,0.62,-10.161975012299816,1.0
FHS_macro,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-11.678319884093831,0.62,-37.03495965228149,1.0
FHS_time,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-10.03585666787639,0.62,-32.10757000362917,1.0
RW_equal,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-5.722586300222332,0.62,-19.167758900666996,1.0
VARL_equal,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-15.237943154016685,0.62,-47.71382946205006,1.0
VARL_time,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-20.298489164886057,0.62,-62.89546749465818,1.0
VECM_equal,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-10.544904588347395,0.62,-33.634713765042186,1.0
VECM_macro,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-34.48172327737203,0.62,-105.44516983211611,1.0
VECM_time,BRENT,1,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-37.07851705682596,0.62,-113.23555117047786,1.0
AR_equal,BRENT,1,0.05,85,85,4.25,False,7,0.08235294117647059,0.20867267686510071,0.29754768893593053,0.2637161328070996,-0.6733940159443871,0.503,-2.7911842686434514,0.7030988985729294
AR_macro,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.9869764495652756,0.5555,-4.06856608266982,0.9167484113372948
AR_macro_nc,BRENT,1,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.4780025581473185,0.7277505413893437,-0.8390315726353975,0.608,-3.8856576712689574,0.9496677063725008
AR_time,BRENT,1,0.05,85,85,4.25,False,7,0.08235294117647059,0.20867267686510071,0.29754768893593053,0.2637161328070996,-1.4027083083886138,0.562,-5.19354186795489,0.8302689739802634
CTSF_equal,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.8085772976449408,0.3875,-2.868361771031062,0.710956536595914
CTSF_macro,BRENT,1,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.4780025581473185,0.7277505413893437,-0.5460514430266962,0.5695,-2.772876099330924,0.9212378291712287
CTSF_time,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.7400283098610818,0.5475,-3.2707287019679563,0.8861861097333508
CTS_equal,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.9348883030230404,0.3445,-3.1223349001437364,0.6705974815548195
CTS_macro,BRENT,1,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.4780025581473185,0.7277505413893437,-0.6738056543623456,0.538,-3.0136214307180698,0.8794294153890432
CTS_time,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.8869486066807578,0.505,-3.592179662379162,0.830198844686648
FHS_equal,BRENT,1,0.05,85,85,4.25,False,8,0.09411764705882353,0.09442497319480736,0.22591183841499918,0.11861842547803092,-0.6345108073640964,0.4655,-2.5292130513171074,0.6621439813940027
FHS_macro,BRENT,1,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.4780025581473185,0.7277505413893437,-0.4960008448315041,0.6245,-2.6690691331540903,0.8654597371006232
FHS_time,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.839083550778798,0.5515,-3.4603780836774614,0.7522482933511138
RW_equal,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.33597591639272567,0.6605,-2.1782447742772915,0.839595438956832
VARL_equal,BRENT,1,0.05,85,85,4.25,False,6,0.07058823529411765,0.4108676985419013,0.38177982578774794,0.4864477725729671,-0.7170571158190653,0.411,-2.7048209342142395,0.7705317274245577
VARL_time,BRENT,1,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.4780025581473185,0.7277505413893437,-0.4160039190600053,0.626,-2.337644270447596,0.8778403847955574
VECM_equal,BRENT,1,0.05,85,85,4.25,False,7,0.08235294117647059,0.20867267686510071,0.29754768893593053,0.2637161328070996,-0.7245843471847305,0.4,-2.7008891100597485,0.683275100278862
VECM_macro,BRENT,1,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.4780025581473185,0.7277505413893437,-0.2554307366339553,0.7305,-1.8444928647397227,0.8597635941262989
VECM_time,BRENT,1,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.4780025581473185,0.7277505413893437,-0.24497852413871074,0.7385,-1.843650110941602,0.86778084946151
AR_equal,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-6.268083015685261,0.257,-17.44852535168347,1.0
AR_macro,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-4.911683205153364,0.4675,-15.766724336289291,1.0
AR_macro_nc,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-4.8155229920852625,0.2545,-15.221337089923127,1.0
AR_time,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-3.487951709469498,0.261,-10.257639184588417,1.0
CTSF_equal,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-7.471445159652492,0.2395,-21.239009991141955,1.0
CTSF_macro,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-5.370226626355425,0.253,-17.054779100542326,1.0
CTSF_time,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-3.976364848425882,0.261,-11.551770855710107,1.0
CTS_equal,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-7.668174479484439,0.24,-21.63476247178589,1.0
CTS_macro,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-5.849101612382464,0.2535,-18.332825823679702,1.0
CTS_time,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-4.339769437507122,0.261,-12.494896535278423,1.0
FHS_equal,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-3.134962938504556,0.264,-10.082149563023023,1.0
FHS_macro,BRENT,4,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-2.5590508582390403,0.63,-9.677152574717121,1.0
FHS_time,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-0.45387868923224917,0.63,-3.2770399073210204,1.0
RW_equal,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-7.4039189860688275,0.2545,-22.124671504652564,1.0
VARL_equal,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-7.413944074270413,0.2535,-22.50245036116644,1.0
VARL_time,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-2.4636793891594695,0.2815,-8.053936004028056,1.0
VECM_equal,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-4.945326755469278,0.2545,-15.186244509183988,1.0
VECM_macro,BRENT,4,0.01,85,85,0.85,True,1,0.011764705882352941,0.8736084421728973,0.8766384351074676,0.9756013946454645,-2.4979778767446827,0.63,-9.493933630234048,1.0
VECM_time,BRENT,4,0.01,85,85,0.85,True,2,0.023529411764705882,0.2859795578030728,0.7547646576940108,0.5390151613584997,-1.7137901655222323,0.496,-6.17957361483054,1.0
AR_equal,BRENT,4,0.05,85,85,4.25,False,3,0.03529411764705882,0.5122782991918476,0.637313395554705,0.7219193657385641,-1.0799757373490164,0.5,-4.305394046566647,1.0
AR_macro,BRENT,4,0.05,85,85,4.25,False,3,0.03529411764705882,0.5122782991918476,0.637313395554705,0.7219193657385641,-0.5106212248056747,0.65,-2.7241734978903325,1.0
AR_macro_nc,BRENT,4,0.05,85,85,4.25,False,3,0.03529411764705882,0.5122782991918476,0.637313395554705,0.7219193657385641,-0.454222686462683,0.706,-2.6606169457025786,1.0
AR_time,BRENT,4,0.05,85,85,4.25,False,3,0.03529411764705882,0.5122782991918476,0.637313395554705,0.7219193657385641,-0.54217377315607,0.694,-2.819193101775517,1.0
CTSF_equal,BRENT,4,0.05,85,85,4.25,False,2,0.023529411764705882,0.21357413704357642,0.7547646576940108,0.4394192486835131,-1.278819989527761,0.2855,-4.779935156511073,1.0
CTSF_macro,BRENT,4,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.42613478510054914,0.6819794433314821,-0.6374606248847339,0.571,-3.025453183254356,0.9744511779276623
CTSF_time,BRENT,4,0.05,85,85,4.25,False,4,0.047058823529411764,0.9000458473117839,0.5270031096603232,0.8122301624791386,-0.631125790943734,0.6335,-2.982711444585116,0.9751983640279079
CTS_equal,BRENT,4,0.05,85,85,4.25,False,3,0.03529411764705882,0.5122782991918476,0.637313395554705,0.7219193657385641,-1.365215329419718,0.2855,-4.980191725990543,1.0
CTS_macro,BRENT,4,0.05,85,85,4.25,False,5,0.058823529411764705,0.716185540119278,0.42613478510054914,0.6819794433314821,-0.7610598620552634,0.508,-3.2495041184188014,0.9419669880443782
